model,detail,id,price
Máy xách tay/ Laptop Lenovo Ideapad 320-15IKB 81BG00E0VN (i5-8250U) (Xám),"CPU: Core i5 8250U
Ram: 4GB DDR4
Ổ cứng: HDD 1TB 5400rpm
Màn hình: 15.6"" FHD
Trọng lượng: 2.1kg
Hệ điều hành có sẵn: Windows 10 SL",28,14.000.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 120s-11IAP 81A400EKVN (N3350) (Xanh),"
CPU Intel Celeron N3350 (1.1GHz Upto 2.4Ghz/2MB)
4GB LPDDR4 2400Mhz
HDD: 500GB 5400rpm
Kích thước màn hình 11.6” HD (1366x768) TN AG (SLIM),
VGA onboard Intel HD Graphics 500",29,6.590.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 320-15IKB 81BG00DYVN (i5-8250U) (Xám),"CPU Intel® Core™ i5-8250U Processor (6M Cache, up to 3.40 GHz)
RAM 4GB DDR4
HDD 1TB 5400rpm
Display 15.6"" FHD
HĐH Windows 10",30,12.990.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 520s-14IKB 80X200J2VN (i3-7130U) (Vàng),"
CPU: Intel® Core™ i3-7130U 
Ram: 4GB DDR4 
Ổ cứng: HDD 1TB 5400rpm 
Màn hình: 14.0"" FHD 
Trọng lượng: 2kg 
Hệ điều hành có sẵn: Windows 10 SL",31,12.490.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 510-15IKB-80SV00QSVN (i7-7500U) (Bạc),"
CPU: Intel® Core™ i7-7500U 
Ram: 8GB DDR4 
Ổ cứng: HDD 1TB 
Màn hình: 15.6” FHD IPS AG 
Trọng lượng: 2.1kg 
Hệ điều hành có sẵn: Free Dos",32,18.400.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 120s-81A40071VN (N3350) (Xanh),"<p>
CPU: Intel Celeron N3350<br />
Ram: 2GB LPDDR4 2400<br />
Ổ cứng: 32GB eMMC<br />
M&agrave;n h&igrave;nh: 11.6"" HD (1366x768)<br />
Trọng lượng: 1.24kg<br />
Hệ điều h&agrave;nh c&oacute; sẵn: Windows 10 HOME</p>",33,5.200.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 320-15ISK 80XH01JPVN (i3-6006U) (Đen),"
CPU: Intel® Core™ i3-6006U 
Ram: 4GB DDR4 2133 
Ổ cứng: HDD 2TB 5400rpm 
Màn hình: 15.6Inch Full HD 
Trọng lượng: 1.8kg 
Hệ điều hành có sẵn: Free Dos",34,9.190.000 ₫
Máy xách tay/ Laptop Lenovo Ideapad 110-14IBR-80T600AFVN (N3710) (Đen),"
CPU: Intel® Pentium® Processor N3710 (1.60GHz, 2M Cache, up to 2.56GHz) 
Ram: 4GB DDr3L Bus 1600Mhz 
Ổ cứng: HDD 500GB 5400rpm 
Màn hình: 14 inch HD (1366 x 768) 
Trọng lượng: 1.90Kg 
Hệ điều hành có sẵn: Windows 10 Home SL 64bit",35,6.700.000 ₫
Máy xách tay/ Laptop Acer SF315-51G-537U (NX.GSJSV.004) (Xám),"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" FHD
Trọng lượng: 1.8 kg
Hệ điều hành có sẵn: Win 10",36,19.990.000 ₫
Máy xách tay/ Laptop Acer AS VX5-591G-52YZ (NH.GM2SV.002) (Đen),"
CPU: Intel Core i5 7300HQ 2.5GHz 
6M (up to 3.5GHz)
Ram: 8GB DDR4
Ổ cứng: SSD 128GB M.2 2280 + HDD 1TB 5400rpm Sata3
Màn hình: 15.6' inches
Trọng lượng: 2.5Kg
Hệ điều hành có sẵn: Free DOS",37,20.190.000 ₫
Máy xách tay/ Laptop Acer E5-575-35M7 (NX.GLBSV.010) (Xám),"
CPU: Intel Core i3-6006U (2.00GHz up 3.10GHz 
3Mb)
Ram: 4GB DDR4 2133Mhz
Ổ cứng: HDD 500GB 5400rpm SATA
Màn hình: 15.6 LED Full HD (1920x1080)
Trọng lượng: 2.2 kg
Hệ điều hành có sẵn: Free Dos",38,9.499.000 ₫
Máy xách tay/ Laptop Acer SF314-52-39CV (NX.GNUSV.007) (Bạc),"
CPU: Intel Core i3-7130U
Ram: 4GB
Ổ cứng: SSD 256GB
Màn hình: 14.0"" FHD
Trọng lượng: 1.5kg
Hệ điều hành có sẵn: Win 10",39,14.999.000 ₫
Máy xách tay/ Laptop Acer A315-51-53ZL (NX.GNPSV.019) (Đen),"
CPU: Intel® Core™ i5-7200U Processor 2.50 GHz, up to 3.10 GHz
Ram: 4GB DDR4 2400MHz
Ổ cứng: HDD 1TB
Màn hình: 15.6 HD (1366 x 768)
Trọng lượng: 2.1 Kg
Hệ điều hành có sẵn: Free Dos",40,11.499.000 ₫
Máy xách tay/ Laptop Acer E5-576-56GY (NX.GRNSV.003) (Xám),"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" FHD
Trọng lượng: 2.1 kg
Hệ điều hành có sẵn: Linux",41,12.590.000 ₫
Máy xách tay/ Laptop Acer ES1-132-C6U8 (NX.GG3SV.002) (Đỏ),"
CPU: Intel Celeron N3350
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 11.0"" HD
Trọng lượng: 1.3 kg
Hệ điều hành có sẵn: Free Dos",42,6.299.000 ₫
