id,model,price,detail
75,Máy xách tay/ Laptop HP Pavilion 15-cc105TU (3CH59PA) (Vàng),14.190.000 ₫,"
CPU:Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" HD
Trọng lượng: 1.96 kg
Hệ điều hành có sẵn: Free Dos"
76,Máy xách tay/ Laptop HP Pavilion 14-bf016TU (2GE48PA) (Bạc),12.290.000 ₫,"
CPU: Intel Core i3-7100U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 14.0"" FHD
Trọng lượng: 1.63 kg
Hệ điều hành có sẵn: Free Dos"
77,Máy xách tay/ Laptop HP Pavilion 15-cc138TX (3CH58PA) (Xám),15.190.000 ₫,"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" HD
Trọng lượng: 1.96 kg
Hệ điều hành có sẵn: Free Dos"
78,Máy xách tay/ Laptop HP Probook 430 G5-2XR78PA (Bạc),16.990.000 ₫,"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: SSD 256GB
Màn hình: 13.3"" HD
Trọng lượng: 1.6 kg
Hệ điều hành có sẵn: Free Dos"
79,Máy xách tay/ Laptop HP Pavilion 15-cc012TU (2GV01PA) (Vàng),11.490.000 ₫,"
CPU: Intel Core i3-7100U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" HD
Trọng lượng: 2 kg
Hệ điều hành có sẵn: Free Dos"
80,Máy xách tay/ Laptop HP Spectre x360 13-ae081TU (3CH52PA) (Đen),42.490.000 ₫,"
CPU:Intel Core i7-7500U
Ram:8GB
Ổ cứng: SSD 256GB
Màn hình: 13.3"" FHD
Trọng lượng: 0.9 kg
Hệ điều hành có sẵn: Win 10"
81,Máy xách tay/ Laptop HP Pavilion 15-cc104TU (3CH57PA) (Xám),14.190.000 ₫,"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" HD
Trọng lượng: 2.02 kg
Hệ điều hành có sẵn: Free Dos"
82,Máy xách tay/ Laptop HP Pavilion 15-cc137TX (3CH63PA) (Vàng),15.190.000 ₫,"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6: HD
Trọng lượng: 2.16 kg
Hệ điều hành có sẵn: Free Dos"
83,Máy xách tay/ Laptop HP Probook 430 G5-2ZD50PA (Bạc),16.990.000 ₫,"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 13.3"" HD
Trọng lượng: 1.6 kg
Hệ điều hành có sẵn: Win 10"
84,Máy xách tay/ Laptop HP 15-bs555TU (2GE38PA) (Bạc),9.890.000 ₫,"
CPU: Intel Core i3-6006U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 15.6"" HD
Trọng lượng: 1.9kg
Hệ điều hành có sẵn: Free Dos"
85,Máy xách tay/ Laptop HP Probook 440 G5-2ZD36PA (Bạc),16.990.000 ₫,"
CPU:Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 14.0"" HD
Trọng lượng: 1.7 kg
Hệ điều hành có sẵn: Win 10"
86,Máy xách tay/ Laptop HP Probook 430 G5-2ZD49PA (Bạc),15.890.000 ₫,"
CPU: Intel Core i5-8250U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 13.3"" HD
Trọng lượng: 1.6kg
Hệ điều hành có sẵn: Free Dos"
87,Máy xách tay/ Laptop HP Probook 440 G4-Z6T14PA (I5-7200U) (Bạc),15.950.000 ₫,"
CPU:
Ram:
Ổ cứng:
Màn hình:
Trọng lượng:
Hệ điều hành có sẵn:"
88,Máy xách tay/ Laptop Dell Vostro 5468-VTI5019 (Vàng đồng),15.490.000 ₫,"
CPU: Intel Core i5-7200U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 14.0"" HD
Trọng lượng: 1.6 kg
Hệ điều hành có sẵn: Win 10"
89,Máy xách tay/ Laptop Dell Vostro 15 3568-XF6C611 (I5-7200U) (Đen),14.490.000 ₫,"
CPU Intel Core i5-7200U (2.5GHz 
up to 3.1Ghz. 3MB Cache) 
RAM 4GB DDR4 2133MHz 
HDD 1TB SATA 5400rpm 
VGA Intel HD Graphics 620 - Màn hình: 15.6"" HD (1366x768) 
Trọng lượng: 2.2kg 
Hệ điều hành: Win 10 Home"
90,Máy xách tay/ Laptop Dell Vostro 5468-VTI35008 (Vàng đồng),12.790.000 ₫,"CPU Intel Core i3-7100U (2.4GHz. 3MB Cache)
RAM 4GB DDR4 2400MHz
HDD 500GB SATA 5400rpm
VGA Intel HD Graphics 620
Màn hình: 14"" HD (1366x768)
Trọng lượng: 1.6kg
Hệ điều hành: Free DOS"
91,Máy xách tay/ Laptop Dell Inspiron 15 3567 (F3567-70093474) (Đen),13.890.000 ₫,"
CPU Intel Core i5-7200U (2.5GHz 
up to 3.1Ghz. 3MB Cache) 
RAM 4GB DDR4 2133MHz 
HDD 500GB SATA 5400rpm 
VGA AMD Radeon R5 M430 2GB + Intel HD Graphics 620 - Màn hình: 15.6"" HD (1366x768) 
Trọng lượng: 2.3kg 
Hệ điều hành: Free DOS"
92,Máy xách tay/ Laptop Dell Inspiron 3567-N3567C (Đen),10.290.000 ₫,"CPU Intel Core i3-6006U (2.0GHz. 3MB Cache)
RAM 4GB DDR4 2133MHz
HDD 1TB SATA 5400rpm
VGA Intel HD Graphics 520
Màn hình: 15.6"" HD (1366x768)
Trọng lượng: 2.2kg
Hệ điều hành: Free DOS"
93,Máy xách tay/ Laptop Dell Vostro 3568-V3568B (Đen),15.790.000 ₫,"CPU : Intel Core i5 7200U 2.5GHz 
3M (up to 3.1GHz)RAM : 1x 4GB DDR4/2133 (2 slots)HDD 1TB 5400rpm 2.5'' Sata3Graphics : AMD Radeon R5 M420 2GB // Intel HD Graphics Display : 15.6'' HD GlareOptical and Multimedia : DVD RW, Webcam HD Lan 1G, Wifi AC, Bluetooth 4.0Weight and battery : 2.29Kg 
4CellPorts : 2x USB 3.0, USB 2.0, VGA, HDMI, ReaderFingerPrint OS : Windows 10 Home SL 64bits"
94,Máy xách tay/ Laptop HP Probook 440 G5-2XR69PA (Bạc),23.490.000 ₫,"
CPU: Intel Core i7-8550U
Ram: 8GB
Ổ cứng: SSD 128GB + HDD 1TB
Màn hình: 14.0"" FHD
Trọng lượng: 1.7kg
Hệ điều hành có sẵn: Free Dos"
95,Máy xách tay/ Laptop Dell Inspiron 3567-N3567B (Đen),12.390.000 ₫,"
CPU Intel Core i3-7100U (2.4GHz. 3MB Cache) 
RAM 6GB DDR4 2400MHz (2 Slots) 
HDD 1TB SATA 5400rpm 
VGA  Intel HD Graphics 620 - Màn hình: 15.6"" HD (1366x768) 
Trọng lượng: 2 kg 
Hệ điều hành: Win 10 Home"
96,Máy xách tay/ Laptop Dell Vostro 3468 (F3468-70090697) (Đen),12.190.000 ₫,"CPU Intel Core i3-7100U (2.4GHz. 3MB Cache)
RAM 4GB DDR4 2133MHz
HDD 1TB SATA 5400rpm
VGA Intel HD Graphics 620
Màn hình: 14"" HD (1366x768)
Trọng lượng: 1.96kg
Hệ điều hành: Win 10 Home"
97,Máy xách tay/ Laptop Dell Vostro 5568 (F5568-70134547) (Vàng),16.990.000 ₫,"CPU Intel Core i5-7200U (2.5GHz up to 3.1Ghz. 3MB Cache)
RAM 8GB DDR4 2400MHz
HDD 1TB SATA 5400rpm
VGA Intel HD Graphics 620
Màn hình: 15.6"" HD (1920x1080)
Trọng lượng: 2.3kg
Hệ điều hành: Free DOS"
98,Máy xách tay/ Laptop Dell Vostro 3568-V3568A (Đen),14.390.000 ₫,"
CPU Intel Core i5-7200U (2.5GHz 
up to 3.1Ghz. 3MB Cache) 
RAM 4GB DDR4 2133MHz 
HDD 1TB SATA 5400rpm 
VGA AMD Radeon R5 M420 2GB + Intel HD Graphics 620 - Màn hình: 15.6"" HD (1366x768) 
Trọng lượng: 2.18kg 
Hệ điều hành: Free DOS"
99,Máy xách tay/ Laptop Dell Vostro 5568-V5568E,13.390.000 ₫,"CPU Intel Core i3-7100U (2.4GHz. 3MB Cache)
RAM 4GB DDR4 2133MHz
HDD 500GB SATA 5400rpm
VGA Intel HD Graphics 620
Màn hình: 15.6"" HD (1366x768)
Trọng lượng: 2.1kg
Hệ điều hành: Win 10 Home"
100,Máy xách tay/ Laptop Dell Inspiron 14 3467-M20NR21 (I3-7100U) (Đen),11.490.000 ₫,"
CPU Intel Core i3-7100U (2.4GHz. 3MB Cache) 
RAM 4GB DDR4 2133MHz 
HDD 1TB SATA 5400rpm 
VGA Intel HD Graphics 620 - Màn hình: 14"" HD (1366x768) 
Trọng lượng: 1,81kg 
Hệ điều hành: Win 10"
101,Máy xách tay/ Laptop Dell Inspiron 15 5567-M5I5384 (Xám),15.490.000 ₫,"CPU Intel Core i5-7200U (2.5GHz up to 3.1Ghz. 3MB Cache)
RAM 4GB DDR4 2133MHz
HDD 1TB SATA 5400rpm
VGA AMD Radeon R7 M445 2GB GDDR5 + Intel HD Graphics 620
Màn hình: 15.6"" Full HD (1920x1080)
Trọng lượng: 2.3kg
Hệ điều hành: Free DOS"
102,Máy xách tay/ Laptop Asus S410UA-EB218T (I3-7100U) (Vàng đồng),12.990.000 ₫,"
CPU Intel Core i3-7100U (2.4GHz, 3MB Cache)
RAM 4GB DDR4 
2133MHz
HDD 1TB 5400rpm
VGA Intel HD Graphics 620- Màn hình: 14.0"" FHD (1920 x 1080)
Trọng lượng: ~ 1.43kg
Hệ điều hành: Windows 10 Home 
64bit"
103,Máy xách tay/ Laptop Asus GL703VD-EE057T (I7-7700HQ),27.990.000 ₫,"
CPU Intel Core i7-7700HQ (2.8GHz Up to 3.8GHz, 6MB Cache)
RAM 8GB DDR4 
2400MHz
SSHD 1TB 5400rpm + 8GB NAND
VGA NVIDIA GeForce GTX 1050 4GB GDDR5 + Intel HD Graphics 620- Màn hình: 17.3"" FHD (1920 x 1080) 120Hz
Trọng lượng: ~ 2.93kg
Hệ điều hành: Windows 10 Home 
64bit"
104,Máy xách tay/ Laptop Dell Vostro 5568 (F5568-70133573) (Vàng),17.190.000 ₫,"CPU Intel Core i5-7200U (2.5GHz up to 3.1Ghz. 3MB Cache)
RAM 4GB DDR4 2133MHz
HDD 1TB SATA 5400rpm
VGA Intel HD Graphics 620
Màn hình: 15.6"" HD (1366x768)
Trọng lượng: 2.3kg
Hệ điều hành: Win 10 Home"
105,Máy xách tay/ Laptop Asus GL503VM-GZ219T (I7-7700HQ) (Đen),32.490.000 ₫,"
CPU Intel Core i7 7700HQ (2.8GHz Up to 3.8GHz, 6MB Cache)
RAM 8GB DDR4 
2400MHz
SSHD 1TB 5400rpm + 8GB NAND
VGA NVIDIA GeForce GTX 1060 3GB GDDR5 + Intel HD Graphics 630- Màn hình: 15.6"" FHD (1920 x 1080) 120Hz
Trọng lượng: ~ 2.3kg
Hệ điều hành: Windows 10 Home 
64bit"
106,Máy xách tay/ Laptop Asus S510UQ-BQ475T (I5-8250U) (Vàng đồng),17.090.000 ₫,"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 4GB DDR4 
2400MHz
HDD 1TB 5400rpm, x1 slot SSD (M.2/ SATA) 
VGA NVIDIA GeForce GT940MX 2GB GDDR5 + Intel UHD Graphics 620- Màn hình: 15.6"" FHD (1920 x 1080)
Trọng lượng: ~ 1.7kg
Hệ điều hành: Windows 10 Home 
64bit"
107,Máy xách tay/ Laptop Asus S510UQ-BQ483T (I7-8550U) (Vàng đồng),21.090.000 ₫,"
CPU Intel Core i7-8550U (1.8Ghz Up to 4.0Ghz, 8MB Cache)
RAM 8GB DDR4 
2400MHz
HDD 1TB 5400rpm, x1 slot SSD (M.2/ SATA) 
VGA NVIDIA GeForce GT940MX 2GB GDDR5 + Intel UHD Graphics 620- Màn hình: 15.6"" HD (1920 x 1080)
Trọng lượng: ~ 1.7kg
Hệ điều hành: Windows 10 Home 
64bit"
108,Máy xách tay/ Laptop Asus UX430UA-GV334T (I5-8250U) (Xanh),22.090.000 ₫,"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 8GB DDR4 
2400MHz
SSD 256GB (M.2/SATA)
VGA Intel UHD Graphics 620- Màn hình: 14.0"" FHD (1920 x 1080)
Trọng lượng: ~ 1.25kg
Hệ điều hành: Windows 10 Home 
64bit"
109,Máy xách tay/ Laptop Asus UX430UN-GV069T (I5-8250U) (Xanh),23.590.000 ₫,"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 8GB DDR4 
2400MHz
SSD 256GB (M.2/SATA)
VGA NVIDIA GeForce MX150 2GB GDDR5 + Intel UHD Graphics 620- Màn hình: 14.0"" FHD (1920 x 1080)
Trọng lượng: ~ 1.25kg
Hệ điều hành: Windows 10 Home 
64bit"
110,Máy xách tay/ Laptop Asus X510UA-BR543T (I5-8250U) (Xám),14.690.000 ₫,"
CPU Intel Core i5-8250U (1.6Ghz Up to 3.4Ghz, 6MB Cache)
RAM 4GB DDR4 
2400MHz
HDD 1TB 5400rpm, x1 slot SSD (M.2/ SATA) 
VGA Intel UHD Graphics 620- Màn hình: 15.6"" HD (1366 x 768)
Trọng lượng: ~ 1.7kg
Hệ điều hành: Windows 10 Home 
64bit"
111,Máy xách tay/ Laptop Asus E402NA-GA025T (N4200) (Xanh),7.190.000 ₫,"
CPU Intel Core Pentium N4200 (1.1GHz, 2MB Cache)
RAM 4GB DDR3L 
1600MHz
HDD 500GB 5400rpm
VGA Intel HD Graphics 505- Màn hình: 14.0"" FHD (1366 x 768)
Trọng lượng: ~ 1.65kg
Hệ điều hành: Windows 10 Home 
64bit"
112,Máy xách tay/ Laptop Asus UX430UN-GV096T (I7-8550U) (Vàng đồng),26.990.000 ₫,"
CPU Intel Core i7-8550U (1.8GHz Up to 4.0GHz, 8MB Cache)
RAM 8GB DDR4 
2400MHz
SSD 256GB (M.2/SATA)
VGA NVIDIA GeForce MX150 2GB GDDR5 + Intel UHD Graphics 620- Màn hình: 14.0"" FHD (1920 x 1080)
Trọng lượng: ~ 1.25kg
Hệ điều hành: Windows 10 Home 
64bit"
113,Máy xách tay/ Laptop Asus S510UA-BQ414T (I5-8250U) (Vàng đồng),16.090.000 ₫,"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 4GB DDR4 
2400MHz
HDD 1TB 5400rpm, 1x slot SSD (M.2/SATA)
VGA Intel UHD Graphics 620- Màn hình: 15,6"" FHD (1920 x 1080)
Trọng lượng: ~ 1.7kg
Hệ điều hành: Windows 10 Home 
64bit"
114,Máy xách tay/ Laptop Asus X540NA-GO032T (Pentium N4200) (Đen),7.490.000 ₫,"CPU IntelPentium N4200 (1.1GHz up to 2.5Ghz. 2MB Cache)
RAM 4GB DDR3L 1600MHz
HDD 500GB SATA 5400rpm
VGA Intel HD Graphics 505
Màn hình: 15.6"" HD (1366x768)
Trọng lượng: 2.0kg
Hệ điều hành: Win 10 Home"
115,Máy xách tay/ Laptop Asus X542UQ-GO241T (I5-8250U) (Đồng),14.890.000 ₫,"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 4GB DDR4 
2400MHz
HDD 1TB 5400rpm, x1 slot SSD (M.2/ SATA) 
VGA NVIDIA GeForce GT940MX 2GB GDDR5 + Intel UHD Graphics 620- Màn hình: 15.6"" HD (1366 x 768)
Trọng lượng: ~ 2.15kg
Hệ điều hành: Windows 10 Home 
64bit"
116,Máy xách tay/ Laptop Asus X542UA-GO349T (I5-8250U) (Đồng),13.890.000 ₫,"
CPU Intel Core i5-8250U (1.6GHz Up to 3.4GHz, 6MB Cache)
RAM 4GB DDR4 
2400MHz
HDD 1TB 5400rpm, x1 slot SSD (M.2/SATA)
VGA Intel UHD Graphics 620- Màn hình: 15.6"" HD (1366 x 768)
Trọng lượng: ~ 2.3kg
Hệ điều hành: Windows 10 Home 
64bit"
